Borough,Category,Measure (e.g Poverty Rate),Area,"Better = (Lower, Higher)",Measure Value,"Unit (%, pts)",London higher threshold,London,London lower threshold,England upper threshold,England,England lower threshold
Newham,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,4.1,,4.51,3.3,2.15,4.88,3.7,2.52
Newham,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.1,%,7.82,6.7,3.95,9.34,7.4,5.46
Newham,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.39,,2.59,2.5,2.32,1.85,1.72,1.59
Newham,Living standards,Poverty rate,Poverty rate,Lower,35,%,34.5,25,19.38,29.76,22.2,14.64
Newham,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,363,,362.71,309,265.54,390.59,342,293.41
Newham,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,29.3,%,34.12,28.8,23.88,39.72,34.6,29.48
Newham,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,503,,489.32,219,139.87,,,
Newham,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,50.25,,25.61,16.62,6.51,13.94,4.39,-5.16
Newham,Work,Unemployment rate,Unemployment rate,Lower,5,%,5.77,5,4.27,4.45,3.7,2.95
Newham,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-0.9,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Redbridge,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,19.6,%,20.2,16.4,11.82,,,
Redbridge,Work,Benefits,Out-of-work benefits,Lower,11.5,%,15.19,12.8,10.02,15.68,13.1,10.52
Redbridge,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,32,%,39.38,33,23.75,38.82,31,23.18
Redbridge,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.75,,3.39,2.42,1.39,2.51,1.51,0.51
Redbridge,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,78.3,%,76.8,71.2,65.65,70.97,65.4,59.83
Redbridge,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.18,,1.34,0.93,0.5,,,
Redbridge,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,37.3,%,56.13,46.4,35.48,35.22,24.9,14.58
Redbridge,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,101,,635.95,353,92.93,,,
Redbridge,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.91,,1.49,1,0.67,1.21,0.8,0.39
Redbridge,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.3,,4.51,3.3,2.15,4.88,3.7,2.52
Redbridge,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,7.4,%,7.82,6.7,3.95,9.34,7.4,5.46
Redbridge,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.4,,2.59,2.5,2.32,1.85,1.72,1.59
Redbridge,Living standards,Poverty rate,Poverty rate,Lower,27,%,34.5,25,19.38,29.76,22.2,14.64
Redbridge,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,297,,362.71,309,265.54,390.59,342,293.41
Redbridge,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,20.1,%,34.12,28.8,23.88,39.72,34.6,29.48
Redbridge,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,248,,489.32,219,139.87,,,
Redbridge,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,26.89,,25.61,16.62,6.51,13.94,4.39,-5.16
Redbridge,Work,Unemployment rate,Unemployment rate,Lower,5.5,%,5.77,5,4.27,4.45,3.7,2.95
Redbridge,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,0.5,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Richmond upon Thames,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,11.5,%,20.2,16.4,11.82,,,
Richmond upon Thames,Work,Benefits,Out-of-work benefits,Lower,6.9,%,15.19,12.8,10.02,15.68,13.1,10.52
Richmond upon Thames,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,12,%,39.38,33,23.75,38.82,31,23.18
Richmond upon Thames,Housing,Evictions,"Repossessions per 1,000 households",Lower,0.78,,3.39,2.42,1.39,2.51,1.51,0.51
Richmond upon Thames,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,80,%,76.8,71.2,65.65,70.97,65.4,59.83
Richmond upon Thames,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.59,,1.34,0.93,0.5,,,
Richmond upon Thames,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,42.3,%,56.13,46.4,35.48,35.22,24.9,14.58
Richmond upon Thames,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,30,,635.95,353,92.93,,,
Richmond upon Thames,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.5,,1.49,1,0.67,1.21,0.8,0.39
Richmond upon Thames,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,1.9,,4.51,3.3,2.15,4.88,3.7,2.52
Richmond upon Thames,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,2.8,%,7.82,6.7,3.95,9.34,7.4,5.46
Richmond upon Thames,Living standards,Pay inequality,80:20 ratio of earnings,Lower,,,2.59,2.5,2.32,1.85,1.72,1.59
Richmond upon Thames,Living standards,Poverty rate,Poverty rate,Lower,11,%,34.5,25,19.38,29.76,22.2,14.64
Richmond upon Thames,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,225,,362.71,309,265.54,390.59,342,293.41
Richmond upon Thames,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,26.1,%,34.12,28.8,23.88,39.72,34.6,29.48
Richmond upon Thames,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,86,,489.32,219,139.87,,,
Richmond upon Thames,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,5.98,,25.61,16.62,6.51,13.94,4.39,-5.16
Richmond upon Thames,Work,Unemployment rate,Unemployment rate,Lower,4.5,%,5.77,5,4.27,4.45,3.7,2.95
Richmond upon Thames,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.6,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Southwark,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,15.5,%,20.2,16.4,11.82,,,
Southwark,Work,Benefits,Out-of-work benefits,Lower,13.5,%,15.19,12.8,10.02,15.68,13.1,10.52
Southwark,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,36,%,39.38,33,23.75,38.82,31,23.18
Southwark,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.87,,3.39,2.42,1.39,2.51,1.51,0.51
Southwark,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,73.1,%,76.8,71.2,65.65,70.97,65.4,59.83
Southwark,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.43,,1.34,0.93,0.5,,,
Southwark,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,49.7,%,56.13,46.4,35.48,35.22,24.9,14.58
Southwark,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,445,,635.95,353,92.93,,,
Southwark,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.5,,1.49,1,0.67,1.21,0.8,0.39
Southwark,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.6,,4.51,3.3,2.15,4.88,3.7,2.52
Southwark,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.2,%,7.82,6.7,3.95,9.34,7.4,5.46
Southwark,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.65,,2.59,2.5,2.32,1.85,1.72,1.59
Southwark,Living standards,Poverty rate,Poverty rate,Lower,25,%,34.5,25,19.38,29.76,22.2,14.64
Southwark,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,345,,362.71,309,265.54,390.59,342,293.41
Southwark,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,28,%,34.12,28.8,23.88,39.72,34.6,29.48
Southwark,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,435,,489.32,219,139.87,,,
Southwark,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,26.05,,25.61,16.62,6.51,13.94,4.39,-5.16
Southwark,Work,Unemployment rate,Unemployment rate,Lower,3.9,%,5.77,5,4.27,4.45,3.7,2.95
Southwark,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-1.8,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Sutton,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,17.5,%,20.2,16.4,11.82,,,
Sutton,Work,Benefits,Out-of-work benefits,Lower,10.1,%,15.19,12.8,10.02,15.68,13.1,10.52
Sutton,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,22,%,39.38,33,23.75,38.82,31,23.18
Sutton,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.46,,3.39,2.42,1.39,2.51,1.51,0.51
Sutton,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,82.5,%,76.8,71.2,65.65,70.97,65.4,59.83
Sutton,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.84,,1.34,0.93,0.5,,,
Sutton,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,32.3,%,56.13,46.4,35.48,35.22,24.9,14.58
Sutton,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,130,,635.95,353,92.93,,,
Sutton,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.63,,1.49,1,0.67,1.21,0.8,0.39
Sutton,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.6,,4.51,3.3,2.15,4.88,3.7,2.52
Sutton,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,5.3,%,7.82,6.7,3.95,9.34,7.4,5.46
Sutton,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.5,,2.59,2.5,2.32,1.85,1.72,1.59
Sutton,Living standards,Poverty rate,Poverty rate,Lower,22,%,34.5,25,19.38,29.76,22.2,14.64
Sutton,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,291,,362.71,309,265.54,390.59,342,293.41
Sutton,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,25.2,%,34.12,28.8,23.88,39.72,34.6,29.48
Sutton,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,30,,489.32,219,139.87,,,
Sutton,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,10.68,,25.61,16.62,6.51,13.94,4.39,-5.16
Sutton,Work,Unemployment rate,Unemployment rate,Lower,4.7,%,5.77,5,4.27,4.45,3.7,2.95
Sutton,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.7,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Tower Hamlets,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,10.1,%,20.2,16.4,11.82,,,
Tower Hamlets,Work,Benefits,Out-of-work benefits,Lower,14.4,%,15.19,12.8,10.02,15.68,13.1,10.52
Tower Hamlets,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,48,%,39.38,33,23.75,38.82,31,23.18
Tower Hamlets,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.56,,3.39,2.42,1.39,2.51,1.51,0.51
Tower Hamlets,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,69.3,%,76.8,71.2,65.65,70.97,65.4,59.83
Tower Hamlets,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.44,,1.34,0.93,0.5,,,
Tower Hamlets,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,54.7,%,56.13,46.4,35.48,35.22,24.9,14.58
Tower Hamlets,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,662,,635.95,353,92.93,,,
Tower Hamlets,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,2.03,,1.49,1,0.67,1.21,0.8,0.39
Tower Hamlets,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,2.5,,4.51,3.3,2.15,4.88,3.7,2.52
Tower Hamlets,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.5,%,7.82,6.7,3.95,9.34,7.4,5.46
Tower Hamlets,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.37,,2.59,2.5,2.32,1.85,1.72,1.59
Tower Hamlets,Living standards,Poverty rate,Poverty rate,Lower,39,%,34.5,25,19.38,29.76,22.2,14.64
Tower Hamlets,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,394,,362.71,309,265.54,390.59,342,293.41
Tower Hamlets,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,23.3,%,34.12,28.8,23.88,39.72,34.6,29.48
Tower Hamlets,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,460,,489.32,219,139.87,,,
Tower Hamlets,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,19.19,,25.61,16.62,6.51,13.94,4.39,-5.16
Tower Hamlets,Work,Unemployment rate,Unemployment rate,Lower,6.3,%,5.77,5,4.27,4.45,3.7,2.95
Tower Hamlets,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.7,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Waltham Forest,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,17,%,20.2,16.4,11.82,,,
Waltham Forest,Work,Benefits,Out-of-work benefits,Lower,13.6,%,15.19,12.8,10.02,15.68,13.1,10.52
Waltham Forest,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,38,%,39.38,33,23.75,38.82,31,23.18
Waltham Forest,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.99,,3.39,2.42,1.39,2.51,1.51,0.51
Waltham Forest,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,64.8,%,76.8,71.2,65.65,70.97,65.4,59.83
Waltham Forest,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.02,,1.34,0.93,0.5,,,
Waltham Forest,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,39.8,%,56.13,46.4,35.48,35.22,24.9,14.58
Waltham Forest,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,435,,635.95,353,92.93,,,
Waltham Forest,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.14,,1.49,1,0.67,1.21,0.8,0.39
Waltham Forest,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.1,,4.51,3.3,2.15,4.88,3.7,2.52
Waltham Forest,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,3.5,%,7.82,6.7,3.95,9.34,7.4,5.46
Waltham Forest,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.41,,2.59,2.5,2.32,1.85,1.72,1.59
Waltham Forest,Living standards,Poverty rate,Poverty rate,Lower,23,%,34.5,25,19.38,29.76,22.2,14.64
Waltham Forest,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,333,,362.71,309,265.54,390.59,342,293.41
Waltham Forest,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,29.6,%,34.12,28.8,23.88,39.72,34.6,29.48
Waltham Forest,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,186,,489.32,219,139.87,,,
Waltham Forest,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,8.74,,25.61,16.62,6.51,13.94,4.39,-5.16
Waltham Forest,Work,Unemployment rate,Unemployment rate,Lower,5.3,%,5.77,5,4.27,4.45,3.7,2.95
Waltham Forest,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,-0.6,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Wandsworth,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,9.7,%,20.2,16.4,11.82,,,
Wandsworth,Work,Benefits,Out-of-work benefits,Lower,8.8,%,15.19,12.8,10.02,15.68,13.1,10.52
Wandsworth,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,26,%,39.38,33,23.75,38.82,31,23.18
Wandsworth,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.84,,3.39,2.42,1.39,2.51,1.51,0.51
Wandsworth,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,71.1,%,76.8,71.2,65.65,70.97,65.4,59.83
Wandsworth,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.57,,1.34,0.93,0.5,,,
Wandsworth,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,52.2,%,56.13,46.4,35.48,35.22,24.9,14.58
Wandsworth,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,524,,635.95,353,92.93,,,
Wandsworth,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.77,,1.49,1,0.67,1.21,0.8,0.39
Wandsworth,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,1.9,,4.51,3.3,2.15,4.88,3.7,2.52
Wandsworth,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,,%,7.82,6.7,3.95,9.34,7.4,5.46
Wandsworth,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.63,,2.59,2.5,2.32,1.85,1.72,1.59
Wandsworth,Living standards,Poverty rate,Poverty rate,Lower,34,%,34.5,25,19.38,29.76,22.2,14.64
Wandsworth,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,282,,362.71,309,265.54,390.59,342,293.41
Wandsworth,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,31.3,%,34.12,28.8,23.88,39.72,34.6,29.48
Wandsworth,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,173,,489.32,219,139.87,,,
Wandsworth,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,23.6,,25.61,16.62,6.51,13.94,4.39,-5.16
Wandsworth,Work,Unemployment rate,Unemployment rate,Lower,4,%,5.77,5,4.27,4.45,3.7,2.95
Wandsworth,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.5,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Westminster,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,11.5,%,20.2,16.4,11.82,,,
Westminster,Work,Benefits,Out-of-work benefits,Lower,12.7,%,15.19,12.8,10.02,15.68,13.1,10.52
Westminster,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,31,%,39.38,33,23.75,38.82,31,23.18
Westminster,Housing,Evictions,"Repossessions per 1,000 households",Lower,1.57,,3.39,2.42,1.39,2.51,1.51,0.51
Westminster,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,76,%,76.8,71.2,65.65,70.97,65.4,59.83
Westminster,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,1.15,,1.34,0.93,0.5,,,
Westminster,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,75.4,%,56.13,46.4,35.48,35.22,24.9,14.58
Westminster,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,529,,635.95,353,92.93,,,
Westminster,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.87,,1.49,1,0.67,1.21,0.8,0.39
Westminster,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,1.9,,4.51,3.3,2.15,4.88,3.7,2.52
Westminster,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6,%,7.82,6.7,3.95,9.34,7.4,5.46
Westminster,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.62,,2.59,2.5,2.32,1.85,1.72,1.59
Westminster,Living standards,Poverty rate,Poverty rate,Lower,43,%,34.5,25,19.38,29.76,22.2,14.64
Westminster,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,264,,362.71,309,265.54,390.59,342,293.41
Westminster,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,25,%,34.12,28.8,23.88,39.72,34.6,29.48
Westminster,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,2050,,489.32,219,139.87,,,
Westminster,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,23.74,,25.61,16.62,6.51,13.94,4.39,-5.16
Westminster,Work,Unemployment rate,Unemployment rate,Lower,5,%,5.77,5,4.27,4.45,3.7,2.95
Westminster,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.6,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
City of London,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,,%,20.2,16.4,11.82,,,
City of London,Work,Benefits,Out-of-work benefits,Lower,5.6,%,15.19,12.8,10.02,15.68,13.1,10.52
City of London,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,,%,39.38,33,23.75,38.82,31,23.18
City of London,Housing,Evictions,"Repossessions per 1,000 households",Lower,0.93,,3.39,2.42,1.39,2.51,1.51,0.51
City of London,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,,%,76.8,71.2,65.65,70.97,65.4,59.83
City of London,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.92,,1.34,0.93,0.5,,,
City of London,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,68.3,%,56.13,46.4,35.48,35.22,24.9,14.58
City of London,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,2,,635.95,353,92.93,,,
City of London,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.42,,1.49,1,0.67,1.21,0.8,0.39
City of London,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,,,4.51,3.3,2.15,4.88,3.7,2.52
City of London,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,,%,7.82,6.7,3.95,9.34,7.4,5.46
City of London,Living standards,Pay inequality,80:20 ratio of earnings,Lower,,,2.59,2.5,2.32,1.85,1.72,1.59
City of London,Living standards,Poverty rate,Poverty rate,Lower,,%,34.5,25,19.38,29.76,22.2,14.64
City of London,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,,,362.71,309,265.54,390.59,342,293.41
City of London,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,,%,34.12,28.8,23.88,39.72,34.6,29.48
City of London,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,482,,489.32,219,139.87,,,
City of London,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,6.77,,25.61,16.62,6.51,13.94,4.39,-5.16
City of London,Work,Unemployment rate,Unemployment rate,Lower,,%,5.77,5,4.27,4.45,3.7,2.95
City of London,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
